,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o26.5 -115
u26.5 -111","o25.5 -125
u25.5 -105",  ,"o25.5 -119
u25.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"{26.5: -115.0, 25.5: -122.0}","{26.5: -111.0, 25.5: -110.0}"
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o30.5 -115
u30.5 -115",  ,"o30.5 -111
u30.5 -115","o30.5 -115
u30.5 -115","o30.5 -115
u30.5 -115","o30.5 -120
u30.5 -114","o30.5 -115
u30.5 -115",  ,  ,  ,  ,"o30.5 -120
u30.5 -120",  ,  ,  ,  ,{30.5: -115.9},{30.5: -115.6}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o13.5 -110
u13.5 -120",  ,  ,"o13.5 -110
u13.5 -120","o13.5 -110
u13.5 -125","o13.5 -108
u13.5 -127",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{13.5: -109.5},{13.5: -123.0}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o37.5 -110
u37.5 -120",  ,"o36.5 -111
u36.5 -115","o37.5 -110
u37.5 -120","o37.5 -105
u37.5 -125","o37.5 -109
u37.5 -125","o37.5 -115
u37.5 -115",  ,  ,  ,  ,"o37.5 -118
u37.5 -133",  ,  ,  ,  ,"{37.5: -111.2, 36.5: -111.0}","{37.5: -123.0, 36.5: -115.0}"
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o12.5 -125
u12.5 -105",  ,  ,"o12.5 -130
u12.5 +100","o12.5 -133
u12.5 +100","o12.5 -133
u12.5 -103",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{12.5: -130.2},{12.5: -2.0}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o14.5 -111
u14.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{14.5: -111.0},{14.5: -115.0}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o17.5 -118
u17.5 -108","o16.5 -145
u16.5 +114","o16.5 -128
u16.5 -105","o16.5 -137
u16.5 +100",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"{17.5: -118.0, 16.5: -136.7}","{17.5: -108.0, 16.5: 36.3}"
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o18.5 -115
u18.5 -115",  ,  ,"o18.5 -120
u18.5 -110","o18.5 -120
u18.5 -111","o18.5 -118
u18.5 -118","o18.5 -115
u18.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,{18.5: -117.6},{18.5: -113.8}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o15.5 -115
u15.5 -115",  ,"o15.5 -122
u15.5 -104","o15.5 -120
u15.5 -110","o15.5 -120
u15.5 -110","o15.5 -120
u15.5 -114","o15.5 -120
u15.5 -110",  ,  ,  ,  ,  ,  ,  ,  ,  ,{15.5: -119.5},{15.5: -110.5}
